CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
2/14/14,4C,23:13:00,2900 W Cold Spring La,Agg. Assault,Other,613,Northwestern,Towanda-Grantley,39.33805,-76.6702
2/13/14,4D,1:10:00,3100 Lawnview Av,Agg. Assault,Hands,434,Northeastern,Belair-Edison,39.31985,-76.57465
2/13/14,3NK,1:50:00,5000 Lodestone Wy,Robbery - Street,Knife,442,Northeastern,Parkside,39.32063,-76.55476
2/13/14,4D,1:56:00,1000 S Charles St,Agg. Assault,Hands,942,Southern,Federal Hill,39.27807,-76.61448
2/13/14,4B,11:25:00,800 Seagull Av,Agg. Assault,Knife,922,Southern,Cherry Hill,39.24617,-76.62024
2/13/14,4C,11:50:00,1800 N Collington Av,Agg. Assault,Other,331,Eastern,Broadway East,39.3114,-76.58741
2/13/14,4C,13:00:00,400 Drew St,Agg. Assault,Other,241,Southeastern,Bayview,39.28886,-76.54388
2/13/14,4C,13:30:00,700 E 21St St,Agg. Assault,Other,342,Eastern,East Baltimore Midway,39.3136,-76.60802
2/13/14,4C,14:40:00,1900 E Lafayette Av,Agg. Assault,Other,331,Eastern,Broadway East,39.31083,-76.59154
2/13/14,3K,16:00:00,1700 E 30Th St,Robbery - Residence,,411,Northeastern,Coldstream Homestead Montebello,39.32537,-76.5914
2/13/14,3AK,18:07:00,200 N Highland Av,Robbery - Street,Knife,224,Southeastern,Ellwood Park/Monument,39.29505,-76.56962
2/13/14,3B,20:08:00,3500 Liberty Hgts Av,Robbery - Street,,643,Northwestern,Ashburton,39.32519,-76.67477
2/13/14,4B,21:53:00,2500 Washington Bd,Agg. Assault,Knife,831,Southwestern,Morrell Park,39.26684,-76.65223
2/13/14,3K,23:00:00,,Robbery - Residence,,522,Northern,,,
2/12/14,3P,5:00:00,2500 E Northern Pw,Robbery - Street,,423,Northeastern,Hamilton Hills,39.36674,-76.56224
2/12/14,3D,7:52:00,2400 Bridgehampton Dr,Robbery - Commercial,,423,Northeastern,Hamilton Hills,39.37068,-76.56501
2/12/14,4C,8:30:00,200 North Bend Rd,Agg. Assault,Other,823,Southwestern,Westgate,39.28296,-76.70579
2/12/14,4B,11:39:00,2400 Giles Rd,Agg. Assault,Knife,922,Southern,Cherry Hill,39.25168,-76.62956
2/12/14,3AK,12:25:00,1300 Wilmer Ct,Robbery - Street,Knife,123,Central,Upton,39.29979,-76.63095
2/12/14,4C,14:55:00,3500 Hillen Rd,Agg. Assault,Other,412,Northeastern,Ednor Gardens-Lakeside,39.33255,-76.58896
2/12/14,3D,19:58:00,3600 W Cold Spring La,Robbery - Commercial,,643,Northwestern,Ashburton,39.33596,-76.6755
2/12/14,3JK,20:00:00,4900 Goodnow Rd,Robbery - Residence,Knife,443,Northeastern,Frankford,39.32664,-76.54829
2/12/14,3CO,20:15:00,2500 Liberty Hgts Av,Robbery - Commercial,Other,611,Northwestern,Liberty Square,39.31947,-76.6559
2/12/14,4B,20:30:00,1600 N Warwick Av,Agg. Assault,Knife,723,Western,Coppin Heights/Ash-Co-East,39.30632,-76.65703
2/12/14,4C,20:40:00,200 S Gilmor St,Agg. Assault,Other,935,Southern,New Southwest/Mount Clare,39.28515,-76.64216
2/12/14,3AF,21:20:00,4000 Duvall Av,Robbery - Street,Firearm,641,Northwestern,Windsor Hills,39.31858,-76.68645
2/12/14,4C,23:55:00,3900 Greenmount Av,Agg. Assault,Other,542,Northern,Guilford,39.33643,-76.60954
2/11/14,4C,15:30:00,2300 W Lafayette Av,Agg. Assault,Other,723,Western,Bridgeview/Greenlawn,39.29846,-76.65471
2/11/14,3P,15:40:00,5300 Park Heights Av,Robbery - Street,,633,Northwestern,Arlington,39.34997,-76.6792
2/11/14,4A,0:10:00,1200 Armistead Wy,Agg. Assault,Firearm,433,Northeastern,Armistead Gardens,39.30833,-76.55071
