CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
1/18/16,10:00:00,7A,7000 ARION AVE,AUTO THEFT,,423,NORTHEASTERN,Hamilton Hills,39.36944,-76.55749
1/18/16,2:15:00,4E,0 COMMERCE ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28964,-76.61025
1/18/16,2:15:00,4E,0 COMMERCE ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28964,-76.61025
1/18/16,2:30:00,7A,300 KANE ST,AUTO THEFT,,241,SOUTHEASTERN,Bayview,39.29019,-76.53726
1/18/16,10:00:00,6D,6700 PULASKI HWY,LARCENY FROM AUTO,,441,NORTHEASTERN,Pulaski Industrial Area,39.30577,-76.53683
1/18/16,10:49:00,3AF,4100 E LOMBARD ST,ROBBERY - STREET,FIREARM,241,SOUTHEASTERN,Kresson,39.29162,-76.56248
1/18/16,11:45:00,5A,200 S ROBINSON ST,BURGLARY,,231,SOUTHEASTERN,Highlandtown,39.28971,-76.57243
1/18/16,12:00:00,7A,1700 N BENTALOU ST,AUTO THEFT,,723,WESTERN,Coppin Heights/Ash-Co-East,39.3079,-76.65404
1/18/16,12:00:00,5A,2200 SIDNEY AVE,BURGLARY,,921,SOUTHERN,Westport,39.26358,-76.6326
1/18/16,12:31:00,6J,800 E NORTH AVE,LARCENY,,342,EASTERN,East Baltimore Midway,39.31159,-76.60688
1/18/16,13:00:00,7A,6100 NORTHWOOD DR,AUTO THEFT,,522,NORTHERN,Lake Walker,39.36792,-76.60051
1/18/16,13:26:00,4E,300 W BALTIMORE ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28938,-76.61967
1/18/16,13:30:00,3B,3800 POTEE ST,ROBBERY - STREET,,913,SOUTHERN,Brooklyn,39.23701,-76.61197
1/18/16,13:47:00,6C,3100 GREENMOUNT AVE,LARCENY,,513,NORTHERN,Better Waverly,39.32691,-76.60938
1/18/16,14:00:00,6D,3500 WHITE CHAPEL RD,LARCENY FROM AUTO,,643,NORTHWESTERN,Ashburton,39.32734,-76.67135
1/18/16,0:00:00,8H,2300 BECKS LN,ARSON,,842,SOUTHWESTERN,Shipley Hill,39.28749,-76.65365
1/18/16,0:54:00,3B,0 W BALTIMORE ST,ROBBERY - STREET,,111,CENTRAL,Downtown,39.28954,-76.61548
1/18/16,1,9S,1600 ELMTREE ST,SHOOTING,FIREARM,911,SOUTHERN,Curtis Bay,39.22456,-76.58784
1/18/16,1:35:00,4E,0 N HOWARD ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28956,-76.6194
1/18/16,1:40:00,6D,2300 PICKWICK RD,LARCENY FROM AUTO,,821,SOUTHWESTERN,Dickeyville,39.3152,-76.70436
