CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
3/5/16,9:25:00,6B,5000 HARFORD RD,LARCENY,,426,NORTHEASTERN,Waltherson,39.34738,-76.56558
3/5/16,1:30:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,941,SOUTHERN,Carroll - Camden Industrial Area,39.27408,-76.62769
3/5/16,10:00:00,5A,200 ROBERT ST,BURGLARY,,132,CENTRAL,Bolton Hill,39.30971,-76.63029
3/5/16,10:18:00,7A,1700 BRADDISH AVE,AUTO THEFT,,723,WESTERN,Coppin Heights/Ash-Co-East,39.30761,-76.661
3/5/16,10:38:00,4E,2400 KERMIT CT,COMMON ASSAULT,HANDS,921,SOUTHERN,Westport,39.26273,-76.64075
3/5/16,11:00:00,5B,5100 PLAINFIELD AVE,BURGLARY,,443,NORTHEASTERN,Frankford,39.33248,-76.55024
3/5/16,11:30:00,4C,1000 WILMOT CT,AGG. ASSAULT,OTHER,312,EASTERN,Oldtown,39.29936,-76.60334
3/5/16,11:30:00,4B,1000 WILMOT CT,AGG. ASSAULT,KNIFE,312,EASTERN,Oldtown,39.29936,-76.60334
3/5/16,1:05:00,3AF,1000 E PRATT ST,ROBBERY - STREET,FIREARM,211,SOUTHEASTERN,Little Italy,39.28795,-76.6014
3/5/16,11:30:00,6D,0 W PRATT ST,LARCENY FROM AUTO,,113,CENTRAL,Downtown West,39.2865,-76.61535
3/5/16,12:00:00,7A,RD & DARLEY AV,AUTO THEFT,,342,EASTERN,East Baltimore Midway,39.31503,-76.59713
3/5/16,12:14:00,4E,6800 BOSTON AVE,COMMON ASSAULT,HANDS,243,SOUTHEASTERN,Graceland Park,39.28033,-76.53012
3/5/16,12:14:00,4D,6800 BOSTON AVE,AGG. ASSAULT,HANDS,243,SOUTHEASTERN,Graceland Park,39.28033,-76.53012
3/5/16,12:20:00,3NF,500 E 28TH ST,ROBBERY - STREET,FIREARM,513,NORTHERN,Better Waverly,39.32217,-76.60922
3/5/16,12:30:00,6G,3200 GREENMOUNT AVE,LARCENY,,513,NORTHERN,Abell,39.32731,-76.60945
3/5/16,12:47:00,4D,500 GOLD ST,AGG. ASSAULT,HANDS,131,CENTRAL,Druid Heights,39.30817,-76.63845
3/5/16,13:58:00,6C,100 N WOLFE ST,LARCENY,,212,SOUTHEASTERN,Washington Hill,39.29323,-76.59053
3/5/16,15:45:00,6A,HOWARD ST & W LEXINGTON ST,LARCENY,,111,CENTRAL,Downtown,39.29155,-76.61957
3/5/16,0:29:00,4B,5400 PARK HEIGHTS AVE,AGG. ASSAULT,KNIFE,633,NORTHWESTERN,Arlington,39.35034,-76.68055
3/5/16,0:00:00,6G,1000 BETHUNE RD,LARCENY,,922,SOUTHERN,Cherry Hill,39.24346,-76.62653
3/5/16,0:44:00,4E,GROVE ST & EDMONDSON AV,COMMON ASSAULT,HANDS,721,SOUTHWESTERN,Franklintown Road,39.29447,-76.66492
3/5/16,14:00:00,4B,1700 PENNSYLVANIA AVE,AGG. ASSAULT,KNIFE,123,CENTRAL,Upton,39.304,-76.63527
3/5/16,14:10:00,6G,100 N EUTAW ST,LARCENY,,111,CENTRAL,Downtown,39.29102,-76.62099
3/5/16,15:10:00,4C,2400 DORTON CT,AGG. ASSAULT,OTHER,921,SOUTHERN,Westport,39.26229,-76.64047
3/5/16,1839,9S,800 ABBOTT CT,SHOOTING,FIREARM,312,EASTERN,Oldtown,39.30116,-76.60614
3/5/16,19:00:00,6D,2500 SPRINGHILL AVE,LARCENY FROM AUTO,,612,NORTHERN,Park Circle,39.33299,-76.65854
3/5/16,19:10:00,4E,2100 W NORTH AVE,COMMON ASSAULT,HANDS,741,WESTERN,Easterwood,39.30957,-76.65165
3/5/16,19:15:00,7A,6600 EBERLE DR,AUTO THEFT,,631,NORTHWESTERN,Reisterstown Station,39.35485,-76.71017
3/5/16,19:15:00,6G,2900 O''DONNELL ST,LARCENY,,232,SOUTHEASTERN,Canton,39.28001,-76.57531
3/5/16,19:28:00,4E,2700 W NORTH AVE,COMMON ASSAULT,HANDS,811,SOUTHWESTERN,Walbrook,39.30927,-76.66372
3/5/16,19:37:00,4E,3500 COTTAGE AVE,COMMON ASSAULT,HANDS,612,NORTHWESTERN,Park Circle,39.32917,-76.6579
3/5/16,20:15:00,4C,3100 LYNDALE AVE,AGG. ASSAULT,OTHER,434,NORTHEASTERN,Four By Four,39.31647,-76.5789
3/5/16,20:20:00,7A,3700 PARK HEIGHTS AVE,AUTO THEFT,,612,NORTHWESTERN,Park Circle,39.33092,-76.65986
3/5/16,21:00:00,7A,5100 NORWOOD AVE,AUTO THEFT,,622,NORTHWESTERN,Howard Park,39.32881,-76.70285
3/5/16,21:32:00,4A,4400 PENNINGTON AVE,AGG. ASSAULT,FIREARM,911,SOUTHERN,Curtis Bay,39.22592,-76.58855
3/5/16,21:56:00,3B,GROVE ST & RAYNER AV,ROBBERY - STREET,,721,SOUTHWESTERN,Franklintown Road,39.29623,-76.66502
3/5/16,2132,9S,4300 PENNINGTON AV,SHOOTING,FIREARM,911,SOUTHERN,Curtis Bay,39.22675,-76.58863
3/5/16,2132,9S,4300 PENNINGTON AV,SHOOTING,FIREARM,911,SOUTHERN,Curtis Bay,39.22675,-76.58863
3/5/16,22:00:00,6D,5200 FAIRLAWN AVE,LARCENY FROM AUTO,,623,NORTHWESTERN,Woodmere,39.34229,-76.6848
3/5/16,22:38:00,4B,1800 ORLEANS ST,AGG. ASSAULT,KNIFE,321,EASTERN,Dunbar-Broadway,39.29529,-76.59129
3/5/16,23:15:00,4E,1100 STEELTON AVE,COMMON ASSAULT,HANDS,243,SOUTHEASTERN,Graceland Park,39.28091,-76.53626
3/5/16,23:21:00,4E,500 N HOWARD ST,COMMON ASSAULT,HANDS,142,CENTRAL,Mount Vernon,39.29514,-76.61983
3/5/16,18:00:00,6B,0 S HOWARD ST,LARCENY,,941,SOUTHERN,Stadium Area,39.27564,-76.62141
3/5/16,18:30:00,3B,6500 SAINT HELENA AVE,ROBBERY - STREET,,243,SOUTHEASTERN,Saint Helena,39.25987,-76.53117
3/5/16,18:39:00,4A,800 ABBOTT CT,AGG. ASSAULT,FIREARM,312,EASTERN,Oldtown,39.30119,-76.60548
3/5/16,1:45:00,3AF,100 REEDBIRD AVE,ROBBERY - STREET,FIREARM,922,SOUTHERN,Cherry Hill,39.24941,-76.61512
3/5/16,1:35:00,6D,1900 MCKEAN AVE,LARCENY FROM AUTO,,731,WESTERN,Mondawmin,39.31045,-76.64734
3/5/16,1:45:00,3AF,100 REEDBIRD AVE,ROBBERY - STREET,FIREARM,922,SOUTHERN,Cherry Hill,39.24941,-76.61512
3/5/16,1:57:00,6G,300 DOLPHIN ST,LARCENY,,132,CENTRAL,Madison Park,39.30375,-76.62387
3/5/16,2:36:00,6G,1900 W LANVALE ST,LARCENY,,722,WESTERN,Midtown-Edmondson,39.29757,-76.64773
3/5/16,2:57:00,4E,3300 MORAVIA RD,COMMON ASSAULT,HANDS,422,NORTHEASTERN,Beverly Hills,39.33768,-76.56546
3/5/16,15:30:00,6D,2900 ELLIOTT ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,39.27922,-76.57484
3/5/16,16:00:00,6D,4900 BELAIR RD,LARCENY FROM AUTO,,426,NORTHEASTERN,Frankford,39.33529,-76.55574
3/5/16,4:51:00,4E,1700 N WOLFE ST,COMMON ASSAULT,HANDS,331,EASTERN,Broadway East,39.31014,-76.59156
3/5/16,1:00:00,4A,800 RICHWOOD AVE,AGG. ASSAULT,FIREARM,524,NORTHERN,Richnor Springs,39.34649,-76.60501
3/5/16,5:35:00,6G,2700 GRINDON AVE,LARCENY,,421,NORTHEASTERN,Lauraville,39.34554,-76.57418
3/5/16,6:00:00,6D,700 S DECKER AVE,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,39.28409,-76.57349
3/5/16,6:41:00,5D,5200 YORK RD,BURGLARY,,521,NORTHERN,York-Homeland,39.35207,-76.6098
3/5/16,6:45:00,6D,600 S ELLWOOD AVE,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,39.28516,-76.57284
3/5/16,7:10:00,4E,2900 SPELMAN RD,COMMON ASSAULT,HANDS,922,SOUTHERN,Cherry Hill,39.245,-76.62727
3/5/16,8:00:00,6E,1500 WHITELOCK ST,LARCENY,,733,WESTERN,Penn North,39.31082,-76.64076
3/5/16,9:05:00,3K,4000 PARK HEIGHTS AVE,ROBBERY - RESIDENCE,,614,NORTHWESTERN,Central Park Heights,39.33529,-76.66328
3/5/16,17:30:00,6C,800 GUILFORD AVE,LARCENY,,142,CENTRAL,Mount Vernon,39.29901,-76.61164
3/4/16,15:00:00,6C,1100 LIGHT ST,LARCENY,,942,SOUTHERN,Riverside,39.27634,-76.61222
3/4/16,15:05:00,4E,4100 SUNNYSIDE AVE,COMMON ASSAULT,HANDS,631,NORTHWESTERN,Reisterstown Station,39.34916,-76.69312
3/4/16,15:30:00,6J,1400 RICHARDSON ST,LARCENY,,943,SOUTHERN,Locust Point,39.26937,-76.59105
3/4/16,15:40:00,6D,200 ALBEMARLE ST,LARCENY FROM AUTO,,211,SOUTHEASTERN,Little Italy,39.28725,-76.60306
3/4/16,15:45:00,6C,3000 N CHARLES ST,LARCENY,,512,NORTHERN,Charles Village,39.32462,-76.61722
3/4/16,16:10:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,941,SOUTHERN,Carroll - Camden Industrial Area,39.27408,-76.62769
3/4/16,16:30:00,6D,1100 WALTERS AVE,LARCENY FROM AUTO,,522,NORTHERN,Glen Oaks,39.35911,-76.59686
3/4/16,1640,9S,2400 REISTERSTOWN RD,SHOOTING,FIREARM,732,WESTERN,Parkview/Woodbrook,39.31643,-76.65015
3/4/16,17:00:00,7A,1600 ARGONNE DR,AUTO THEFT,,412,NORTHEASTERN,Hillen,39.34014,-76.5904
3/4/16,17:50:00,6J,BALTIMORE ST & LIGHT ST,LARCENY,,111,CENTRAL,Downtown,39.28958,-76.61382
3/4/16,18:00:00,6D,100 N JANNEY ST,LARCENY FROM AUTO,,241,SOUTHEASTERN,Kresson,39.29413,-76.56084
3/4/16,18:04:00,5A,1000 MCDONOGH ST,BURGLARY,,322,EASTERN,Middle East,39.30251,-76.59356
3/4/16,18:10:00,4A,4300 FREDERICK AVE,AGG. ASSAULT,FIREARM,843,SOUTHWESTERN,Irvington,39.28167,-76.6868
3/4/16,18:30:00,3JF,1500 MCCULLOH ST,ROBBERY - RESIDENCE,FIREARM,123,CENTRAL,Upton,39.30443,-76.63016
3/4/16,18:30:00,3B,5000 SINCLAIR LN,ROBBERY - STREET,,443,NORTHEASTERN,Frankford,39.3221,-76.54811
3/4/16,18:30:00,5A,100 S MONROE ST,BURGLARY,,934,SOUTHERN,Carrollton Ridge,39.28592,-76.64677
3/4/16,21:30:00,4C,BELVEDERE AV & QUEENSBERRY AV,AGG. ASSAULT,OTHER,614,NORTHWESTERN,Central Park Heights,39.35084,-76.6725
3/4/16,21:30:00,6D,3800 HUDSON ST,LARCENY FROM AUTO,,233,SOUTHEASTERN,Brewers Hill,39.28261,-76.56471
3/4/16,21:30:00,6E,2800 GUILFORD AVE,LARCENY,,512,NORTHERN,Charles Village,39.32217,-76.61317
3/4/16,21:45:00,6D,2900 ELLIOTT ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,39.27917,-76.57452
3/4/16,21:50:00,4B,5100 ARBUTUS AVE,AGG. ASSAULT,KNIFE,613,NORTHWESTERN,Langston Hughes,39.34333,-76.68131
3/4/16,22:00:00,6D,FEDERAL ST & N CALVERT ST,LARCENY FROM AUTO,,141,CENTRAL,Greenmount West,39.30778,-76.61356
3/4/16,22:00:00,7A,4000 FAIT AVE,AUTO THEFT,,233,SOUTHEASTERN,Brewers Hill,39.28375,-76.5631
3/4/16,22:30:00,4E,2500 QUANTICO AVE,COMMON ASSAULT,HANDS,533,NORTHERN,Greenspring,39.33824,-76.66026
3/4/16,22:45:00,4A,2400 REISTERSTOWN RD,AGG. ASSAULT,FIREARM,732,WESTERN,Parkview/Woodbrook,39.31643,-76.65015
3/4/16,23:00:00,4C,3400 PARKLAWN AVE,AGG. ASSAULT,OTHER,432,NORTHEASTERN,Belair-Edison,39.32444,-76.57539
3/4/16,23:01:00,4B,3800 OAKFORD AVE,AGG. ASSAULT,KNIFE,642,NORTHWESTERN,Dolfield,39.33605,-76.67993
3/4/16,23:15:00,5B,2100 E OLIVER ST,BURGLARY,,331,EASTERN,Broadway East,39.30772,-76.58819
3/4/16,7:30:00,7A,1600 W MULBERRY ST,AUTO THEFT,,711,WESTERN,Franklin Square,39.29302,-76.64304
3/4/16,7:40:00,5A,,BURGLARY,,,,,,
3/4/16,8:00:00,4E,6100 METRO DR,COMMON ASSAULT,HANDS,622,NORTHWESTERN,Seton Business Park,39.34884,-76.70852
3/4/16,8:00:00,6D,5200 REISTERSTOWN RD,LARCENY FROM AUTO,,623,NORTHWESTERN,Woodmere,39.34445,-76.68562
3/4/16,8:15:00,5A,2600 GROGAN AVE,BURGLARY,,332,EASTERN,Berea,39.30647,-76.5808
3/4/16,8:18:00,6C,5700 WABASH AVE,LARCENY,,622,NORTHWESTERN,Seton Business Park,39.34747,-76.69905
3/4/16,8:20:00,3K,200 S REGESTER ST,ROBBERY - RESIDENCE,,213,SOUTHEASTERN,Fells Point,39.28895,-76.5925
3/4/16,0:01:00,6D,ST & FLEET ST,LARCENY FROM AUTO,,233,SOUTHEASTERN,Brewers Hill,39.28576,-76.56329
3/4/16,0:31:00,4E,1000 NEW HOPE CIR,COMMON ASSAULT,HANDS,211,SOUTHEASTERN,Pleasant View Gardens,39.29382,-76.60265
3/4/16,2:00:00,6D,3200 DILLON ST,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,39.28136,-76.57059
3/4/16,2:02:00,4E,2900 O''DONNELL ST,COMMON ASSAULT,HANDS,232,SOUTHEASTERN,Canton,39.28036,-76.57532
3/4/16,2:50:00,3CF,700 WASHINGTON BLVD,ROBBERY - COMMERCIAL,FIREARM,932,SOUTHERN,Washington Village/Pigtown,39.28327,-76.62659
3/4/16,2:54:00,4E,800 N PATTERSON PARK AVE,COMMON ASSAULT,HANDS,323,EASTERN,Milton-Montford,39.30024,-76.58519
3/4/16,4:00:00,6D,,LARCENY FROM AUTO,,,,,,
3/4/16,4:14:00,6C,2700 BOSTON ST,LARCENY,,232,SOUTHEASTERN,Canton,39.27911,-76.57798
3/4/16,5:30:00,5C,6300 WIRT AVE,BURGLARY,,632,NORTHWESTERN,Cross Country,39.3613,-76.69312
3/4/16,6:45:00,5C,700 MCHENRY ST,BURGLARY,,931,SOUTHERN,Barre Circle,39.28492,-76.62816
3/4/16,7:30:00,7A,2800 W GARRISON AVE,AUTO THEFT,,532,NORTHERN,Cylburn,39.34975,-76.66744
3/4/16,7:30:00,5A,1000 WALNUT AVE,BURGLARY,,822,SOUTHWESTERN,Rognel Heights,39.29626,-76.69081
3/4/16,18:33:00,3CF,1600 W NORTH AVE,ROBBERY - COMMERCIAL,FIREARM,733,WESTERN,Penn North,39.31001,-76.6431
3/4/16,18:45:00,7A,2700 EASTERN AVE,AUTO THEFT,,232,SOUTHEASTERN,Canton,39.28619,-76.57775
3/4/16,19:00:00,4D,2500 ROBB ST,AGG. ASSAULT,HANDS,411,NORTHEASTERN,Coldstream Homestead Montebello,39.31852,-76.59804
3/4/16,19:20:00,3AF,AV & W LAFAYETTE AV,ROBBERY - STREET,FIREARM,132,CENTRAL,Bolton Hill,39.30687,-76.62402
3/4/16,20:00:00,5A,300 N MONROE ST,BURGLARY,,714,WESTERN,Penrose/Fayette Street Outreach,39.29227,-76.64719
3/4/16,20:30:00,6D,800 S ELLWOOD AVE,LARCENY FROM AUTO,,232,SOUTHEASTERN,Canton,39.28283,-76.57268
3/4/16,20:35:00,3AJF,GILMOR ST & W MULBERRY ST,ROBBERY - CARJACKING,FIREARM,713,WESTERN,Franklin Square,39.29305,-76.64264
3/4/16,21:00:00,5A,500 N FULTON AVE,BURGLARY,,713,WESTERN,Harlem Park,39.29485,-76.64553
3/4/16,21:00:00,5D,500 N FULTON AVE,BURGLARY,,713,WESTERN,Harlem Park,39.29485,-76.64553
3/4/16,21:00:00,7A,600 S EATON ST,AUTO THEFT,,233,SOUTHEASTERN,Brewers Hill,39.28543,-76.5652
3/4/16,21:17:00,4E,3700 WOODRIDGE RD,COMMON ASSAULT,HANDS,844,SOUTHWESTERN,Edgewood,39.29719,-76.67912
3/4/16,21:30:00,7A,5900 FENWICK AVE,AUTO THEFT,,415,NORTHEASTERN,Loch Raven,39.36234,-76.58306
3/4/16,8:40:00,4E,6600 SNOWBERRY CT,COMMON ASSAULT,HANDS,423,NORTHEASTERN,Hamilton Hills,39.36774,-76.57147
3/4/16,9:00:00,4C,1200 N ELLWOOD AVE,AGG. ASSAULT,OTHER,332,EASTERN,Berea,39.30549,-76.57419
3/4/16,9:00:00,5C,3800 DERBY MANOR DR,BURGLARY,,533,NORTHERN,Greenspring,39.33376,-76.65729
3/4/16,9:10:00,4F,3000 S HANOVER ST,ASSAULT BY THREAT,,922,SOUTHERN,Middle Branch/Reedbird Parks,39.25137,-76.61498
3/4/16,9:50:00,6L,0 S GREENE ST,LARCENY,,121,CENTRAL,University Of Maryland,39.28829,-76.62367
3/4/16,10:35:00,4E,0 S CHARLES ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28854,-76.61503
3/4/16,10:45:00,6G,600 N WOLFE ST,LARCENY,,321,EASTERN,Dunbar-Broadway,39.29758,-76.59087
3/4/16,11:00:00,4E,400 SOMERSET RD,COMMON ASSAULT,HANDS,541,NORTHERN,Roland Park,39.34179,-76.63004
3/4/16,11:15:00,4E,900 FORREST ST,COMMON ASSAULT,HANDS,312,EASTERN,Penn-Fallsway,39.30063,-76.60786
3/4/16,11:50:00,4E,600 GLENWOOD AVE,COMMON ASSAULT,HANDS,524,NORTHERN,Woodbourne-McCabe,39.35375,-76.60778
3/4/16,12:00:00,7A,800 WHITMORE AVE,AUTO THEFT,,721,WESTERN,Evergreen Lawn,39.29656,-76.658
3/4/16,12:30:00,7A,3000 CHESLEY AVE,AUTO THEFT,,424,NORTHEASTERN,North Harford Road,39.36518,-76.54854
3/4/16,12:50:00,6E,600 MAUDE AVE,LARCENY,,913,SOUTHERN,Brooklyn,39.23844,-76.60117
3/4/16,13:00:00,6E,FERRY RD & HURON ST,LARCENY,,921,SOUTHERN,Mount Winans,39.26328,-76.64225
3/4/16,13:15:00,4E,0 N HOWARD ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28969,-76.61941
3/4/16,13:15:00,5A,1500 ARGONNE DR,BURGLARY,,412,NORTHEASTERN,Hillen,39.34002,-76.59287
3/4/16,13:51:00,3CO,6500 REISTERSTOWN RD,ROBBERY - COMMERCIAL,OTHER,631,NORTHWESTERN,Reisterstown Station,39.35647,-76.70297
3/4/16,14:00:00,6B,300 N EUTAW ST,LARCENY,,111,CENTRAL,Downtown,39.29298,-76.62119
3/4/16,14:20:00,3CO,6500 REISTERSTOWN RD,ROBBERY - COMMERCIAL,OTHER,631,NORTHWESTERN,Reisterstown Station,39.35629,-76.70273
3/3/16,4:44:00,5D,3800 CLIFTON AVE,BURGLARY,,812,SOUTHWESTERN,Mount Holly,39.31075,-76.68149
3/3/16,23:45:00,3B,BALTIMORE ST & N CAREY ST,ROBBERY - STREET,,712,WESTERN,Poppleton,39.28856,-76.63815
3/3/16,0:01:00,3D,5700 BELAIR RD,ROBBERY - COMMERCIAL,,444,NORTHEASTERN,Frankford,39.34251,-76.5453
3/3/16,0:15:00,3CF,1500 62ND ST,ROBBERY - COMMERCIAL,FIREARM,441,NORTHEASTERN,Pulaski Industrial Area,39.31104,-76.53103
3/3/16,1:20:00,4E,2300 DRUID HILL AVE,COMMON ASSAULT,HANDS,733,WESTERN,Penn North,39.31091,-76.63873
3/3/16,2:00:00,4B,400 E BALTIMORE ST,AGG. ASSAULT,KNIFE,111,CENTRAL,Downtown,39.28978,-76.60963
3/3/16,2:27:00,7A,100 N CLINTON ST,AUTO THEFT,,222,SOUTHEASTERN,Patterson Park Neighborhood,39.2939,-76.57094
3/3/16,3:00:00,4E,BALTIMORE ST & N GAY ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28978,-76.60894
3/3/16,3:55:00,4D,1000 RENICK CT,AGG. ASSAULT,HANDS,913,SOUTHERN,Brooklyn,39.22801,-76.59823
3/3/16,4:30:00,4C,5600 YORK RD,AGG. ASSAULT,OTHER,523,NORTHERN,Homeland,39.35785,-76.60995
3/3/16,5:55:00,4C,1800 PENNSYLVANIA AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,39.30436,-76.63571
3/3/16,6:30:00,5A,400 S REGESTER ST,BURGLARY,,212,SOUTHEASTERN,Upper Fells Point,39.28625,-76.59238
3/3/16,7:30:00,5A,,BURGLARY,,,,,,
3/3/16,7:30:00,5A,4800 LAUREL AVE,BURGLARY,,532,NORTHERN,Cylburn,39.34825,-76.66558
3/3/16,7:32:00,4C,,AGG. ASSAULT,OTHER,,,,,
3/3/16,8:00:00,6D,3500 NEWLAND RD,LARCENY FROM AUTO,,542,NORTHERN,Guilford,39.33202,-76.6106
3/3/16,8:30:00,5A,5100 WHITEFORD AVE,BURGLARY,,521,NORTHERN,Radnor-Winston,39.3501,-76.61368
3/3/16,8:42:00,6J,1800 W LANVALE ST,LARCENY,,722,WESTERN,Harlem Park,39.2976,-76.64699
3/3/16,832,1F,2300 N FULTON AV,HOMICIDE,FIREARM,733,WESTERN,Penn North,39.31531,-76.644
3/3/16,10:00:00,4E,6400 PULASKI HWY,COMMON ASSAULT,HANDS,441,NORTHEASTERN,Pulaski Industrial Area,39.30411,-76.54081
3/3/16,10:00:00,4E,6400 PULASKI HWY,COMMON ASSAULT,HANDS,441,NORTHEASTERN,Pulaski Industrial Area,39.30411,-76.54081
3/3/16,10:30:00,6J,2800 E BIDDLE ST,LARCENY,,323,EASTERN,Biddle Street,39.30492,-76.57741
3/3/16,11:00:00,7A,2200 GUILFORD AVE,AUTO THEFT,,514,NORTHERN,Barclay,39.31481,-76.61269
3/3/16,11:03:00,6J,200 E UNIVERSITY PKWY,LARCENY,,512,NORTHERN,Oakenshawe,39.33074,-76.61493
3/3/16,11:10:00,6B,3000 GWYNNS FALLS PKWY,LARCENY,,641,NORTHWESTERN,Hanlon-Longwood,39.31458,-76.66814
3/3/16,11:30:00,4E,6600 WALTHER AVE,COMMON ASSAULT,HANDS,425,NORTHEASTERN,Rosemont East,39.35692,-76.53945
3/3/16,11:30:00,4E,6600 WALTHER AVE,COMMON ASSAULT,HANDS,425,NORTHEASTERN,Rosemont East,39.35692,-76.53945
3/3/16,11:30:00,5A,3800 W BELVEDERE AVE,BURGLARY,,633,NORTHWESTERN,Arlington,39.34523,-76.68153
3/3/16,11:45:00,7A,6200 WALTHER AVE,AUTO THEFT,,425,NORTHEASTERN,Glenham-Belhar,39.35176,-76.54278
3/3/16,12:00:00,6J,3500 HOWARD PARK AVE,LARCENY,,622,NORTHWESTERN,Howard Park,39.33123,-76.69897
3/3/16,12:05:00,4E,1200 N AUGUSTA AVE,COMMON ASSAULT,HANDS,844,SOUTHWESTERN,Edmondson Village,39.30021,-76.68532
3/3/16,12:15:00,7A,ST & BAYARD ST,AUTO THEFT,,935,SOUTHERN,Carroll Park,39.28107,-76.63868
3/3/16,12:21:00,4F,2100 GUILFORD AVE,ASSAULT BY THREAT,,514,NORTHERN,Barclay,39.31374,-76.61263
3/3/16,12:30:00,6L,AV & W NORTHERN PY,LARCENY,,622,NORTHWESTERN,Reisterstown Station,39.34565,-76.69686
3/3/16,12:30:00,3JO,5900 RADECKE AVE,ROBBERY - RESIDENCE,OTHER,441,NORTHEASTERN,Cedonia,39.33069,-76.53204
3/3/16,13:00:00,6E,6600 VINCENT LN,LARCENY,,631,NORTHWESTERN,Reisterstown Station,39.35524,-76.70884
3/3/16,13:30:00,6D,1600 HARTSDALE RD,LARCENY FROM AUTO,,415,NORTHEASTERN,Perring Loch,39.35059,-76.58617
3/3/16,13:38:00,6C,2400 LIBERTY HEIGHTS AVE,LARCENY,,731,WESTERN,Mondawmin,39.31868,-76.65399
3/3/16,14:00:00,5A,2600 BARCLAY ST,BURGLARY,,513,NORTHERN,Harwood,39.32042,-76.61108
3/3/16,15:00:00,6D,400 NICOLL AVE,LARCENY FROM AUTO,,522,NORTHERN,Lake Evesham,39.3659,-76.61031
3/3/16,15:00:00,6J,500 PARK AVE,LARCENY,,142,CENTRAL,Mount Vernon,39.29509,-76.61828
3/3/16,15:00:00,6J,100 N WOLFE ST,LARCENY,,212,SOUTHEASTERN,Washington Hill,39.29323,-76.59053
3/3/16,15:20:00,3AF,0 N HOWARD ST,ROBBERY - STREET,FIREARM,141,CENTRAL,Madison Park,39.30322,-76.62057
3/3/16,16:00:00,6J,100 W UNIVERSITY PKWY,LARCENY,,541,NORTHERN,Tuscany-Canterbury,39.3355,-76.62223
3/3/16,16:00:00,4E,6800 REISTERSTOWN RD,COMMON ASSAULT,HANDS,631,NORTHWESTERN,Reisterstown Station,39.35945,-76.70682
3/3/16,16:00:00,4E,4900 EASTERN AV,COMMON ASSAULT,HANDS,242,SOUTHEASTERN,Greektown,39.28706,-76.55422
3/3/16,16:00:00,6D,600 S FAGLEY ST,LARCENY FROM AUTO,,233,SOUTHEASTERN,Brewers Hill,39.28561,-76.56424
3/3/16,16:00:00,6J,2000 LINDEN AVE,LARCENY,,133,CENTRAL,Reservoir Hill,39.3112,-76.63306
3/3/16,16:10:00,6C,2500 GWYNNS FALLS PKWY,LARCENY,,731,WESTERN,Mondawmin,39.31605,-76.65658
3/3/16,17:02:00,6J,3800 EASTERN AVE,LARCENY,,231,SOUTHEASTERN,Highlandtown,39.28673,-76.56483
3/3/16,18:00:00,6E,100 S HILTON ST,LARCENY,,842,SOUTHWESTERN,Saint Josephs,39.28359,-76.67221
3/3/16,18:05:00,4E,3800 ECHODALE AVE,COMMON ASSAULT,HANDS,426,NORTHEASTERN,Waltherson,39.34226,-76.55571
3/3/16,18:10:00,3CF,2100 E MONUMENT ST,ROBBERY - COMMERCIAL,FIREARM,321,EASTERN,CARE,39.29862,-76.58711
3/3/16,18:30:00,3JF,1400 MADISON AVE,ROBBERY - RESIDENCE,FIREARM,132,CENTRAL,Madison Park,39.30411,-76.62817
3/3/16,18:30:00,5A,1400 MADISON AVE,BURGLARY,,132,CENTRAL,Madison Park,39.30411,-76.62817
3/3/16,18:30:00,3AF,500 ROBERT ST,ROBBERY - STREET,FIREARM,131,CENTRAL,Druid Heights,39.30661,-76.63457
3/3/16,19:05:00,4E,3100 SUMTER AVE,COMMON ASSAULT,HANDS,614,NORTHWESTERN,Central Park Heights,39.34206,-76.66755
3/3/16,19:30:00,6J,1600 BEASON ST,LARCENY,,943,SOUTHERN,Locust Point,39.27092,-76.59048
3/3/16,19:55:00,6J,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,39.28761,-76.53982
3/3/16,20:00:00,6D,,LARCENY FROM AUTO,,,,,,
3/3/16,20:30:00,6E,2100 ERDMAN AVE,LARCENY,,421,NORTHEASTERN,Montebello,39.32919,-76.58452
3/3/16,20:30:00,7A,6300 THE ALAMEDA,AUTO THEFT,,522,NORTHERN,Glen Oaks,39.37162,-76.59483
3/3/16,20:47:39,2A,2900 HOLLINS FERRY RD,RAPE,OTHER,923,SOUTHERN,Lakeland,39.25505,-76.64639
3/3/16,21:00:00,6D,ST & FLEET ST,LARCENY FROM AUTO,,233,SOUTHEASTERN,Brewers Hill,39.28576,-76.56329
